0,lassoguillermo acá debió ser algo igualpero no con el prepotenteno entiendo como fue que nos ín vadio es 
1,vamossiec lenin quitomilenario vecinomario carlospaezperez augustobarrerag vamoslenin ximeponceleon 
1,desde cedhu exigimos a lenin no sólo que se apruebe la ley para prevenir y erradicar la violencia de género sino 
1,rocío gonzález de moreno realizó un agasajo navideño en hospital del niño 
1,mashirafael la verdad los tiempos duros ya pasaron usted ya no es presidente gracias a dios el pais esta mejorando
1,revolucionpais lenin sandinin reychris florcisparedes nandorevolucion julietmaryg apereznena elregioec 
0,bellhermosa mauriciorodasec emaseo quitolibertario recuperemosuio ecuadorrc luiscncejal soledadbenitezq 
0,reychris lenin el problema es que ya no tenemos gobierno
1,fabrimred lenin lourdestorres abenitesd alexmoramoya andypais eliastenoriom innovacionec 
1,y cobra doble sueldo del estado lenin una como concejal y el latisueldo como periodista q no lo es 
1,hola me ayudas a compartir la siguiente imagen diana es mi prima y está perdida desde ayer uio lenin 
1,el presidente lenin realizará importantes anuncios el miércoles enero de con relación a empleo para los jóvenes del país
1,mauriciorodasec lenin el proceder del metropolitano fué el correcto 
1,sencillamente lamentable vuelve la mano negra y su pálido reflejo señor lenin mcarvajala detengan esta persecu 
1,micheldoumet pais lenin queridos militantes de ap nunca olviden esas caras esos son los rostros de los judas 
0,para los sorprendidos estás también eran las prácticas del gobierno de la revolución ciudadana 
1,mashirafael feliz presidente lo mejor de este mundo para udy su familia
0,augustobarrerag valores que el gobierno de lenin está destrozando no es cuestión de palabrería sino de actuar de acuerdo a esos valores
0,nadie como rafael correa http 
1,jimmyjairala razones para decir nono a la consulta mañosano a los mismos de siempre no a las mafias 
1,florcisparedes mashirafael razones para decir nono a la consulta mañosano a los mismos de siempre 
1,jpjaramillo lenin cpccs razones para decir nono a la consulta mañosano a los mismos de siempre n 
1,sincerebror razones para decir nono a la consulta mañosano a los mismos de siempre no a las mafias 
1,fernand hemos perdido un medio público ya no hay razón para leer el telégrafo la dictadura de moreno aca 
0,corre que te den a ti la vicepresidencia traidor dinero electronico dado a labanca sucia refineria del pacifico 
1,larocae lenin jorgeglas para mí puede ser un desacierto la suya pero la respeto quien metió preso a glas fu 
1,nunca en mi vida he dicho veces si esta vez con voz firme y mano dura diré si a la consulta vecessi 
1,paobasantes mcarvajala lenin tienes toda la razón ahora la senain anda haciendo todo menos lo q debe
0,estebanavila ese es el pensar y actuar de los lideres del gobierno anterior y parece q les contagio a algunitos 
0,luismongee mashirafael rcmguayas ecuadorrc somosmasec crcciudadanos falvaradoe eltelegrafo sofiaespin 
0,lassoguillermo el pueblo no podemos permitir la traicin y la ingratitudtodos a luchar por el no desde nuest 
1,albertoacostae no engañen con o sin consulta seguirán explotando las minas y el petróleo 
1,mashirafael el pueblo no podemos permitir la traicin y la ingratitudtodos a luchar por el no desde nuestras 
0,mashirafael si van a hacerle enojar a correa piensen en las consecuencias vecesno
1,vamosaldebate entre mashirafael y lenin para que porfin la gente se de cuenta que eñ gobierno les quiere ver la 
1,lenin moreno cuando el dicen vamosaldebate 
1,allannarvaez polyugarteg mvespinosas bernardonnsw lenin pepeav zebrarecalde seguro está haciendo campaña y 
1,davcaster mashirafael no puedo creer que haya gente que todavía piensa que fue un buen presidente
0,también recalcar que todo programa de gobierno es absolutamente gratis creamoscomunidad 
1,losseguidoresfalsosdelenin lenin cuanto le costaron esos seguidores para ver si yo me compro algunos y llego a los 
1,yakuana mashirafael mashirafael preguntele a ppsesa su ex ministro y los mas de invesrigaciones fiscales 
1,traducción después de la consulta moreno no me sirve más así q haré lo posible para desestabiliza al país o lo q 
0,somosmasec falvaradoe ja ja será que asiste al debate pero el líder de la banda de delincuentes que es correa o puro bla bla bla
1,animegalarza mashirafael janethinostroza y pregunten a patiño de donde compro la casa en la isla mocoli y la cas 
1,nadie sabe lo que tiene hasta que lo pierde y yo soy alguien muy preciado no por nada me llamo lenin javier quiñonez preciado
1,pipo lenin yo no vote por lenin como seguramente usted por borrega lo hizo no penso solo actuo y voto por 
0,lindabeautyh egperalta lassoguillermo lastimosamente esas reformas legales ni decretos no se dieron en la asamb 
1,mashirafael está bien mashi
0,chauvindiplo la vuelta a francia y al mundo por la igualdad de género una iniciativa del gobierno francés y las 
0,chauvindiplo la vuelta a francia y al mundo por la igualdad de género una iniciativa del gobierno francés y la 
0,lenin es conscuencia de la impunidad ante la corrupción como es posible que se permita a un ciudadano que todos s 
0,chauvindiplo la vuelta a francia y al mundo por la igualdad de género una iniciativa del gobierno francés y la 
1,quinhos marthisima mashirafael no hay nada que denunciar lo hecho con su casa fue legal pero absolutamente 
0,marcelaholguin puro show otro s al delincuente de correa deberían meterlo preso
1,guillaumelong mashirafael lenin seguramente alguna llamada de maduro porquele debe preocupar que si esto le hac 
1,santiagolodice gengis edgararauz mashirafael jamás en la historia de mi país un presidente ha dejado el car 
0,porque para variar nos quieren ver la cara de pendejos baca a correa lo va a dejar escapar eso lo sabemos la 
1,ecuador a decirle no al reparto de la patriasin ganar la consulta ya se han repartido pas ganando el s volve 
0,y porque no abrió una indagación previa cuando correa y sus matones rompieron la puerta e ingresaron a la humilde v 
0,la única verdad es la realidad la casa modesta de correa paga más impuestos que la mansión de rodas todo no 
1,mashirafael da gracias q el pana hizo su trabajo y por eso no te lincharon 
1,mashirafael la pregunta es solamente el interés particular de un dictador q pretende perennizarse en el poder p 
1,nelysuarezz mashirafael el expresidente puso dólares en la compra d su casa para evadir impuestos así d sim 
1,si y vecessi en la consulta popular 
1,evoespueblo mashirafael gobierna tu país
1,mashirafael sr correa es lo que usted provocó en sus años de victoria no veo a nadie haciendo vandalismo 
1,mashirafael no a las ratas nadie las protege ni las llevan en carros blindados tu te vas como un tipejo sinverg 
0,jarbus sebassal camilin eso no van a entender ni comprender para ellos correa nos construyó el estadio le 
1,marcoporchile mashirafael entre ratas se solidarizan
